date	close
4/16/2016	110.4488598
4/17/2016	110.467239
4/18/2016	110.5199301
4/19/2016	110.5164034
4/20/2016	110.490511
4/21/2016	110.4418149
4/22/2016	110.4156689
4/23/2016	110.3771917
4/24/2016	110.366476
4/25/2016	110.354862
4/26/2016	109.8228423
4/27/2016	109.3995237
4/28/2016	108.9725851
4/29/2016	108.5352844
4/30/2016	108.0879359
5/1/2016	107.6229006
5/2/2016	107.1500964
5/3/2016	106.6753423
5/4/2016	106.1966006
5/5/2016	105.7187986
5/6/2016	105.2359187
5/7/2016	104.7550024
5/8/2016	104.2710922
5/9/2016	103.7861986
5/10/2016	103.3002548
5/11/2016	102.8082078
5/12/2016	102.316354
5/13/2016	101.8232953
5/14/2016	101.3289839
5/15/2016	100.8334848
